1234, 0, 884
1232, 200, 0
0, 311, 954
1226, 323, 0
0, 321, 979
1176, 347, 0
1220, 375, 0
0, 351, 987
1227, 252, 886
0, 533, 831
0, 524, 0
1231, 0, 0
1184, 359, 0
0, 349, 0
0, 355, 983
0, 395, 878
0, 331, 993
1216, 424, 954
0, 230, 895
0, 530, 0
1234, 426, 1002
0, 707, 0
0, 280, 0
0, 335, 946
1232, 463, 0
0, 370, 0
0, 408, 0
1244, 434, 1039
1222, 588, 1056
1240, 473, 1001
0, 342, 816
0, 406, 840
1236, 254, 951
1204, 381, 1059
1197, 548, 931
0, 362, 945
1232, 204, 1131
1239, 342, 833
0, 358, 973
1235, 254, 982
0, 511, 992
1211, 554, 1084
1235, 433, 0
1228, 470, 0
0, 465, 0
1234, 693, 0
1211, 806, 1088
0, 254, 0
0, 426, 1101
0, 536, 0
1213, 343, 0
1231, 204, 960
1231, 264, 827
0, 254, 874
1241, 447, 0
1236, 434, 1013
1234, 595, 1049
0, 511, 0
1235, 456, 1065
0, 578, 0
1235, 379, 1087
0, 686, 1113
1244, 514, 0
1233, 490, 1018
1240, 358, 1070
0, 512, 0
0, 588, 0
0, 315, 0
0, 420, 1059
0, 588, 1025
0, 374, 828
1137, 380, 931
1228, 520, 962
1244, 485, 983
1141, 294, 765
1233, 353, 966
0, 356, 987
0, 356, 1095
0, 279, 873
0, 456, 965
1243, 499, 1066
1239, 726, 1019
0, 437, 950
1212, 531, 1015
0, 355, 986
0, 415, 917
0, 629, 994
1242, 629, 985
0, 228, 959
0, 204, 1112
1238, 430, 0
0, 764, 1114
0, 358, 0
0, 481, 917
0, 336, 814
0, 395, 870
0, 370, 920
1235, 204, 775
0, 377, 874
1240, 452, 961
0, 279, 884
0, 463, 913
0, 368, 854
1244, 235, 854
1232, 217, 946
0, 228, 862
0, 658, 1105
0, 516, 1047
0, 428, 965
1216, 367, 1002
0, 574, 857
0, 393, 908
1219, 378, 806
1233, 464, 842
1212, 457, 842
1238, 449, 1011
1239, 311, 962
1242, 508, 917
1236, 281, 909
0, 204, 871
0, 413, 882
0, 289, 1055
1231, 264, 841
1176, 307, 969
1232, 249, 888
1218, 228, 956
0, 228, 947
0, 218, 900
0, 332, 928
0, 613, 978
1211, 281, 1003
1211, 460, 965
1198, 295, 1046
1211, 305, 908
1198, 410, 910
0, 300, 919
1211, 461, 899
0, 546, 895
1244, 451, 919
1241, 436, 929
1148, 204, 853
0, 635, 899
0, 309, 1006
1231, 286, 952
1198, 355, 794
0, 259, 881
1245, 360, 922
0, 286, 972
0, 680, 951
1180, 277, 829
0, 204, 768
1212, 383, 973
1154, 209, 1017
1210, 318, 899
1210, 209, 825
1215, 424, 954
1242, 501, 747
1175, 377, 776
1070, 228, 706
1068, 387, 736
1239, 260, 763
1239, 281, 807
1239, 313, 769
1197, 435, 848
1197, 204, 990
0, 593, 1028
0, 286, 801
1197, 281, 915
1202, 344, 1016
1212, 435, 1028
1234, 327, 1023
1202, 286, 720
1228, 281, 837
1228, 214, 835
1228, 281, 781
1228, 476, 855
1228, 409, 859
1228, 527, 844
1203, 256, 804
1184, 453, 867
1224, 490, 977
1224, 204, 1035
1224, 290, 944
1234, 344, 916
1224, 450, 929
1205, 368, 875
1205, 373, 864
1149, 486, 798
1203, 281, 940
1203, 204, 868
1214, 235, 945
1187, 235, 959
0, 441, 1009
0, 378, 932
0, 286, 731
0, 214, 737
1196, 443, 881
1196, 281, 807
1244, 204, 845
0, 290, 870
1205, 214, 945
1201, 204, 839
1197, 346, 858
0, 588, 858
0, 358, 1039
1211, 336, 1021
1206, 336, 1020
0, 259, 983
1218, 281, 993
1202, 456, 1019
1219, 717, 1127
1240, 321, 1038
0, 439, 941
0, 460, 937
0, 429, 1063
0, 214, 1062
0, 366, 1108
1231, 365, 1108
0, 354, 1139
1245, 463, 1101
0, 487, 1093
0, 384, 1006
1226, 512, 918
0, 567, 874
0, 365, 856
0, 373, 1016
1242, 344, 1055
1242, 358, 0
1230, 680, 1125
1239, 305, 0
1239, 416, 0
0, 204, 0
0, 726, 0
1222, 413, 1105
1238, 468, 1031
0, 353, 0
0, 592, 1007
0, 224, 878
1176, 291, 789
1215, 336, 911
0, 464, 1008
1203, 204, 1029
0, 204, 1052
0, 225, 0
1241, 379, 985
1222, 359, 1070
1238, 394, 1067
0, 435, 995
0, 277, 1011
0, 478, 1106
0, 225, 0
1232, 277, 1055
1243, 324, 1067
0, 370, 0
0, 204, 1048
1242, 355, 968
1242, 204, 1020
0, 370, 809
1220, 204, 795
1201, 336, 899
0, 277, 887
1172, 281, 921
1226, 302, 937
1222, 757, 936
1240, 481, 902
1238, 392, 902
0, 204, 903
1229, 302, 860
1221, 286, 833
1233, 429, 933
1227, 204, 910
1239, 277, 1014
1245, 204, 994
0, 374, 877
1204, 354, 856
1180, 204, 725
1180, 204, 806
1153, 278, 865
1226, 205, 816
1153, 303, 816
1236, 436, 995
0, 436, 991
1213, 204, 1094
0, 637, 995
0, 308, 1158
0, 483, 1014
0, 441, 1095
0, 395, 1117
0, 516, 1038
0, 282, 1095
0, 648, 1136
0, 400, 1058
0, 295, 902
0, 204, 1078
0, 308, 1034
1228, 204, 979
1211, 205, 931
1191, 393, 879
1135, 380, 710
0, 378, 646
1212, 281, 920
0, 345, 985
1243, 335, 899
1242, 452, 933
0, 241, 924
0, 223, 963
0, 444, 1017
1230, 477, 1054
1230, 549, 1036
0, 324, 1148
1230, 320, 1093
0, 443, 1091
1233, 338, 1094
0, 205, 1052
0, 358, 1017
1189, 205, 748
1233, 281, 792
1236, 359, 785
0, 268, 786
1236, 303, 785
0, 303, 879
0, 376, 960
1236, 450, 938
1239, 595, 989
1239, 471, 915
1200, 303, 964
0, 323, 892
1199, 427, 804
1178, 205, 905
0, 365, 751
0, 280, 814
0, 358, 853
0, 371, 796
1245, 205, 742
0, 374, 919
1245, 244, 929
1245, 296, 804
1245, 241, 996
1245, 282, 936
1206, 496, 888
0, 489, 1011
1220, 418, 954
1202, 412, 0
1238, 450, 0
1238, 359, 1083
1238, 412, 1090
0, 373, 1030
1238, 314, 969
1245, 455, 975
1238, 335, 870
0, 314, 898
0, 604, 1089
0, 244, 944
0, 527, 1025
1205, 373, 1080
1220, 321, 1104
1238, 376, 0
1238, 470, 1163
1221, 307, 0
1239, 566, 0
1239, 320, 0
0, 384, 1067
1239, 394, 890
0, 642, 1012
0, 460, 1009
1221, 296, 958
1240, 488, 957
0, 618, 1035
1240, 373, 867
0, 502, 1021
0, 342, 0
0, 448, 0
0, 489, 955
0, 296, 0
1238, 359, 1078
0, 314, 960
1226, 550, 1010
1226, 423, 1052
0, 369, 1032
0, 356, 1069
0, 299, 1103
0, 589, 0
1236, 512, 0
1241, 307, 1047
0, 296, 956
0, 523, 1085
0, 185, 1139
1238, 376, 0
1242, 389, 1145
1230, 507, 0
1210, 741, 1058
0, 555, 1060
1242, 377, 0
0, 598, 0
1245, 528, 0
0, 205, 0
1229, 296, 1118
0, 338, 1161
1237, 416, 1027
1241, 216, 1012
1241, 394, 1068
0, 185, 0
1234, 255, 0
0, 307, 958
1168, 339, 799
0, 338, 724
1209, 492, 928
1226, 541, 1087
0, 287, 951
0, 357, 708
1242, 262, 911
1227, 294, 954
1206, 217, 766
0, 217, 937
0, 277, 925
0, 602, 853
0, 272, 953
0, 339, 1004
1230, 185, 899
1230, 514, 905
1230, 431, 939
1224, 217, 872
0, 309, 970
0, 294, 891
1236, 294, 791
0, 333, 925
1199, 299, 1024
0, 550, 1036
0, 564, 1012
0, 676, 1012
1238, 394, 1051
1220, 285, 1044
0, 322, 1033
1238, 758, 1096
1235, 557, 0
1238, 434, 1153
1238, 345, 0
1245, 509, 0
0, 262, 0
1244, 331, 0
1231, 262, 0
1243, 265, 0
1231, 272, 1064
1210, 262, 1017
0, 467, 1045
1223, 463, 932
1236, 416, 950
0, 271, 987
1235, 271, 985
1219, 359, 977
1189, 267, 855
1231, 340, 866
1233, 185, 1101
0, 489, 0
0, 394, 0
1190, 813, 1022
1226, 764, 0
0, 416, 944
1232, 342, 0
0, 524, 0
0, 623, 1016
1233, 331, 0
1233, 185, 1053
0, 240, 0
0, 527, 955
1186, 378, 805
0, 185, 825
1238, 416, 863
0, 416, 998
1243, 301, 916
0, 397, 925
0, 185, 929
1230, 339, 878
0, 353, 1035
1213, 339, 967
1244, 339, 0
1244, 310, 984
0, 395, 0
0, 248, 1073
1239, 185, 1061
0, 441, 0
1238, 344, 0
0, 416, 0
1226, 262, 0
1243, 185, 1108
0, 262, 987
1242, 325, 1082
0, 185, 1009
1232, 284, 1043
0, 300, 1073
0, 576, 1108
0, 376, 0
0, 221, 1046
0, 453, 0
1236, 185, 955
0, 558, 998
1203, 195, 1098
0, 400, 1013
1225, 591, 1110
0, 575, 0
1225, 338, 0
0, 408, 970
1242, 344, 978
0, 346, 1048
1230, 185, 979
1230, 356, 1038
0, 318, 0
0, 262, 874
0, 349, 959
1203, 185, 0
0, 282, 0
1179, 367, 993
0, 609, 1037
0, 185, 1025
1242, 276, 1132
1228, 556, 1094
0, 423, 966
1225, 382, 971
0, 342, 1121
0, 364, 0
1225, 474, 0
1236, 378, 0
0, 435, 995
0, 325, 774
0, 298, 978
1178, 360, 953
0, 151, 0
1231, 262, 0
1207, 547, 1057
0, 241, 995
0, 262, 0
1224, 237, 1008
1193, 416, 0
0, 680, 0
0, 280, 973
1223, 345, 0
0, 402, 967
1212, 185, 793
0, 262, 0
1202, 380, 0
1234, 454, 1024
0, 459, 1081
1243, 498, 0
1223, 717, 0
1225, 479, 1069
0, 279, 1008
0, 280, 942
0, 386, 0
0, 402, 861
1231, 240, 956
1211, 594, 1040
0, 335, 1121
0, 439, 0
0, 325, 1078
1230, 420, 869
0, 280, 974
1227, 564, 976
1228, 396, 1040
0, 471, 1115
1228, 336, 1062
0, 431, 1100
0, 439, 0
1230, 262, 944
1243, 302, 940
1238, 210, 1048
1230, 546, 1056
0, 318, 0
1232, 241, 917
1235, 301, 966
1232, 241, 946
0, 262, 946
1232, 511, 1104
1241, 375, 927
1238, 496, 1037
1234, 378, 1047
0, 223, 1043
0, 376, 1082
1235, 498, 985
0, 262, 982
1229, 325, 903
0, 248, 919
0, 185, 756
0, 360, 870
1217, 185, 1031
0, 375, 1001
0, 436, 1038
1236, 282, 1047
0, 185, 1095
1225, 472, 1021
0, 331, 0
0, 276, 953
1225, 402, 1017
1185, 433, 0
0, 389, 1028
1180, 185, 951
1227, 582, 0
0, 583, 1011
1215, 416, 0
1243, 262, 1150
0, 185, 1050
1231, 241, 798
0, 508, 864
